,Location,Velocity,Time
0,0.0,0.0,0.0
1,0.0,0.0,2.0
2,0.0,0.0,4.0
3,0.0,0.0,6.0
4,0.0,0.0,8.0
5,0.0,0.0,10.0
6,0.0,0.0,12.0
7,0.0,0.0,14.0
8,0.0,0.0,16.0
9,0.0,0.0,18.0
10,0.0,0.0,20.0
11,0.0,1.0,0.0
12,0.0,1.0,2.0
13,0.0,1.0,4.0
14,0.0,1.0,6.0
15,0.0,1.0,8.0
16,0.0,1.0,10.0
17,0.0,1.0,12.0
18,0.0,1.0,14.0
19,0.0,1.0,16.0
20,0.0,1.0,18.0
21,0.0,1.0,20.0
22,0.0,2.0,0.0
23,0.0,2.0,2.0
24,0.0,2.0,4.0
25,0.0,2.0,6.0
26,0.0,2.0,8.0
27,0.0,2.0,10.0
28,0.0,2.0,12.0
29,0.0,2.0,14.0
30,0.0,2.0,16.0
31,0.0,2.0,18.0
32,0.0,2.0,20.0
33,0.0,3.0,0.0
34,0.0,3.0,2.0
35,0.0,3.0,4.0
36,0.0,3.0,6.0
37,0.0,3.0,8.0
38,0.0,3.0,10.0
39,0.0,3.0,12.0
40,0.0,3.0,14.0
41,0.0,3.0,16.0
42,0.0,3.0,18.0
43,0.0,3.0,20.0
44,0.0,4.0,0.0
45,0.0,4.0,2.0
46,0.0,4.0,4.0
47,0.0,4.0,6.0
48,0.0,4.0,8.0
49,0.0,4.0,10.0
50,0.0,4.0,12.0
51,0.0,4.0,14.0
52,0.0,4.0,16.0
53,0.0,4.0,18.0
54,0.0,4.0,20.0
55,0.0,5.0,0.0
56,0.0,5.0,2.0
57,0.0,5.0,4.0
58,0.0,5.0,6.0
59,0.0,5.0,8.0
60,0.0,5.0,10.0
61,0.0,5.0,12.0
62,0.0,5.0,14.0
63,0.0,5.0,16.0
64,0.0,5.0,18.0
65,0.0,5.0,20.0
66,0.0,6.0,0.0
67,0.0,6.0,2.0
68,0.0,6.0,4.0
69,0.0,6.0,6.0
70,0.0,6.0,8.0
71,0.0,6.0,10.0
72,0.0,6.0,12.0
73,0.0,6.0,14.0
74,0.0,6.0,16.0
75,0.0,6.0,18.0
76,0.0,6.0,20.0
77,0.0,7.0,0.0
78,0.0,7.0,2.0
79,0.0,7.0,4.0
80,0.0,7.0,6.0
81,0.0,7.0,8.0
82,0.0,7.0,10.0
83,0.0,7.0,12.0
84,0.0,7.0,14.0
85,0.0,7.0,16.0
86,0.0,7.0,18.0
87,0.0,7.0,20.0
88,0.0,8.0,0.0
89,0.0,8.0,2.0
90,0.0,8.0,4.0
91,0.0,8.0,6.0
92,0.0,8.0,8.0
93,0.0,8.0,10.0
94,0.0,8.0,12.0
95,0.0,8.0,14.0
96,0.0,8.0,16.0
97,0.0,8.0,18.0
98,0.0,8.0,20.0
99,0.0,9.0,0.0
100,0.0,9.0,2.0
101,0.0,9.0,4.0
102,0.0,9.0,6.0
103,0.0,9.0,8.0
104,0.0,9.0,10.0
105,0.0,9.0,12.0
106,0.0,9.0,14.0
107,0.0,9.0,16.0
108,0.0,9.0,18.0
109,0.0,9.0,20.0
110,0.0,10.0,0.0
111,0.0,10.0,2.0
112,0.0,10.0,4.0
113,0.0,10.0,6.0
114,0.0,10.0,8.0
115,0.0,10.0,10.0
116,0.0,10.0,12.0
117,0.0,10.0,14.0
118,0.0,10.0,16.0
119,0.0,10.0,18.0
120,0.0,10.0,20.0
121,5.0,0.0,0.0
122,5.0,0.0,2.0
123,5.0,0.0,4.0
124,5.0,0.0,6.0
125,5.0,0.0,8.0
126,5.0,0.0,10.0
127,5.0,0.0,12.0
128,5.0,0.0,14.0
129,5.0,0.0,16.0
130,5.0,0.0,18.0
131,5.0,0.0,20.0
132,5.0,1.0,0.0
133,5.0,1.0,2.0
134,5.0,1.0,4.0
135,5.0,1.0,6.0
136,5.0,1.0,8.0
137,5.0,1.0,10.0
138,5.0,1.0,12.0
139,5.0,1.0,14.0
140,5.0,1.0,16.0
141,5.0,1.0,18.0
142,5.0,1.0,20.0
143,5.0,2.0,0.0
144,5.0,2.0,2.0
145,5.0,2.0,4.0
146,5.0,2.0,6.0
147,5.0,2.0,8.0
148,5.0,2.0,10.0
149,5.0,2.0,12.0
150,5.0,2.0,14.0
151,5.0,2.0,16.0
152,5.0,2.0,18.0
153,5.0,2.0,20.0
154,5.0,3.0,0.0
155,5.0,3.0,2.0
156,5.0,3.0,4.0
157,5.0,3.0,6.0
158,5.0,3.0,8.0
159,5.0,3.0,10.0
160,5.0,3.0,12.0
161,5.0,3.0,14.0
162,5.0,3.0,16.0
163,5.0,3.0,18.0
164,5.0,3.0,20.0
165,5.0,4.0,0.0
166,5.0,4.0,2.0
167,5.0,4.0,4.0
168,5.0,4.0,6.0
169,5.0,4.0,8.0
170,5.0,4.0,10.0
171,5.0,4.0,12.0
172,5.0,4.0,14.0
173,5.0,4.0,16.0
174,5.0,4.0,18.0
175,5.0,4.0,20.0
176,5.0,5.0,0.0
177,5.0,5.0,2.0
178,5.0,5.0,4.0
179,5.0,5.0,6.0
180,5.0,5.0,8.0
181,5.0,5.0,10.0
182,5.0,5.0,12.0
183,5.0,5.0,14.0
184,5.0,5.0,16.0
185,5.0,5.0,18.0
186,5.0,5.0,20.0
187,5.0,6.0,0.0
188,5.0,6.0,2.0
189,5.0,6.0,4.0
190,5.0,6.0,6.0
191,5.0,6.0,8.0
192,5.0,6.0,10.0
193,5.0,6.0,12.0
194,5.0,6.0,14.0
195,5.0,6.0,16.0
196,5.0,6.0,18.0
197,5.0,6.0,20.0
198,5.0,7.0,0.0
199,5.0,7.0,2.0
200,5.0,7.0,4.0
201,5.0,7.0,6.0
202,5.0,7.0,8.0
203,5.0,7.0,10.0
204,5.0,7.0,12.0
205,5.0,7.0,14.0
206,5.0,7.0,16.0
207,5.0,7.0,18.0
208,5.0,7.0,20.0
209,5.0,8.0,0.0
210,5.0,8.0,2.0
211,5.0,8.0,4.0
212,5.0,8.0,6.0
213,5.0,8.0,8.0
214,5.0,8.0,10.0
215,5.0,8.0,12.0
216,5.0,8.0,14.0
217,5.0,8.0,16.0
218,5.0,8.0,18.0
219,5.0,8.0,20.0
220,5.0,9.0,0.0
221,5.0,9.0,2.0
222,5.0,9.0,4.0
223,5.0,9.0,6.0
224,5.0,9.0,8.0
225,5.0,9.0,10.0
226,5.0,9.0,12.0
227,5.0,9.0,14.0
228,5.0,9.0,16.0
229,5.0,9.0,18.0
230,5.0,9.0,20.0
231,5.0,10.0,0.0
232,5.0,10.0,2.0
233,5.0,10.0,4.0
234,5.0,10.0,6.0
235,5.0,10.0,8.0
236,5.0,10.0,10.0
237,5.0,10.0,12.0
238,5.0,10.0,14.0
239,5.0,10.0,16.0
240,5.0,10.0,18.0
241,5.0,10.0,20.0
242,10.0,0.0,0.0
243,10.0,0.0,2.0
244,10.0,0.0,4.0
245,10.0,0.0,6.0
246,10.0,0.0,8.0
247,10.0,0.0,10.0
248,10.0,0.0,12.0
249,10.0,0.0,14.0
250,10.0,0.0,16.0
251,10.0,0.0,18.0
252,10.0,0.0,20.0
253,10.0,1.0,0.0
254,10.0,1.0,2.0
255,10.0,1.0,4.0
256,10.0,1.0,6.0
257,10.0,1.0,8.0
258,10.0,1.0,10.0
259,10.0,1.0,12.0
260,10.0,1.0,14.0
261,10.0,1.0,16.0
262,10.0,1.0,18.0
